edge_id,failure_mode,status,evidence
EDGE-001,Web Speech API unavailable,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-002,Browser recognizer automatically stops,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-003,Microphone permission denied,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-004,No microphone,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-005,Recording contains silence,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-006,Background noise,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-007,Unsupported audio format,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-008,Empty uploaded file,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-009,Oversized audio file,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-010,Recording interrupted by phone call,UNVERIFIED_EXTERNAL_ENVIRONMENT,Requires deployed service/account or physical-device behavior.
EDGE-011,Browser tab moved to background,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-012,Network disconnect,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-013,Slow upload,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-014,Duplicate transcription click,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-015,User cancels request,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-016,Invalid API key,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-017,Expired or revoked key,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-018,Provider quota reached,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-019,Provider rate limit,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-020,Provider timeout,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-021,Provider outage,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-022,Provider changes model ID,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-023,Malformed provider response,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-024,Transcript empty,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-025,Transcript unexpectedly translated,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-026,Refresh with unsaved work,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-027,Malicious HTML pasted,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-028,Template placeholder missing,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-029,Malformed DOCX template,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-030,Document generation fails,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-031,PDF conversion unavailable,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-032,Temporary-file deletion fails,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-033,Sensitive key appears in exception,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-034,Third party attempts open proxy,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-035,Recognition constructor present but service fails,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-036,Permission prompt ignored or late grant after Cancel,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-037,No compatible recording MIME,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-038,Last chunk exceeds recording limit,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-039,Audio duration unknown or forged,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-040,Body sent without Content-Length,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
